country,site,year,date,gear,inside_area,species,length_cm,count
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,23.102,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,22.379,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,25.215,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,26.565,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,23.333,1
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.77,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,30.316,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.208,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,18.88,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.834,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.811,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.451,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,22.767,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.905,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,25.958,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,18.275,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.496,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.294,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.226,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.195,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.523,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.243,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.261,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.764,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.729,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,25.498,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,31.765,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.162,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,25.347,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,27.418,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.742,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.384,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,29.714,1
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.709,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,27.767,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,29.661,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,26.73,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,31.332,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,34.242,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,31.927,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,35.366,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,34.412,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,27.901,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,26.633,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,32.994,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,25.272,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,29.839,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,25.853,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,27.715,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,26.422,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,17.661,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,28.317,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,17.398,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,23.313,1
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,21.562,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,32.644,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,26.079,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,28.644,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.8,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,27.769,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.805,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,37.658,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,36.455,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.602,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,36.186,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.602,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,28.751,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.533,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,35.189,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.331,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,26.401,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,24.366,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.424,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.352,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,32.521,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.775,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.375,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.118,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,25.714,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,34.952,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,33.053,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,25.46,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.53,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,28.609,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,32.121,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.216,1
Indonesia,Karimunjawa National Park,2003,9/13/03,Muroami,Inside,Caesio cuning,31.229,1
