Country,Species,Common,Code,L_inf,k,t0,M,Wa,Wb,m50,m95
Philippines,Xiphias gladius,Swordfish,XIPHGL,256,0.102,NA,0.285,0.03,2.9395,168.2,191.7
Philippines,Zebrasoma flavescens,Yellow Tang,ZEBRFL,16.75,0.275,-1.2,0.07306664,0.03738,2.86,14,16
Indonesia,Bolbometopon muricatum,Bumphead Parrotfish,BOLBMU,157.75,0.063,-0.47,0.235722334,0.01307,3.05,53.5,60.99
Indonesia,Caesio caerulaurea,Blue and gold fusilier,CAESCA,36.6,0.53,-0.29,0.98,0.02,2.991,21.2,24.168
Indonesia,Caesio cuning,Yellowtail fusilier,CAESCU,62.2,0.32,-0.42,0.891598119,0.0208,3.0322,13.95,15.9
Indonesia,Caesio teres,Yellow and blueback fusilier,CAESTE,41.7,0.46,-0.33,0.86,0.0093,3.253,23.8,27.132
Indonesia,Caranx ignobilis,Giant trevally,CARAIG,184,0.69,-0.0242,0.223143551,0.0202,3,54,61.56
Indonesia,Cephalopholis urodeta,Darkfin hind,CEPHUR,14.5,1.39,0,0.29957,0.0282,2.818,17,19.38
Indonesia,Cromileptes altivelis,Humpback grouper,CROMAL,57.5,0.35,0,0.26,0.0060475,3.24,15.5,35
Indonesia,Epinephelus bleekeri,Bleeker's grouper,EPINBL,78.5,0.12,-1.06,0.1248221781,0.00889,3.126,42,47.88
Indonesia,Epinephelus faveatus,Barred-chest grouper,EPINFA,33.5,0.34,-0.47,0.72,0.01122,3.04,19.6,22.344
Indonesia,Epinephelus fuscoguttatus,"Brown-marble, tiger grouper",EPINFU,80.69,0.16,0,0.45,0.0116,3.075,56.6,64.524
