Year,site,Management Type,access,transect,Reserve,Biomass
2013,Kumbang 1,Core Zone,No Take Zone,1,1,20.88385012
2013,Kumbang 1,Core Zone,No Take Zone,2,1,12.45718231
2013,Kumbang 1,Core Zone,No Take Zone,3,1,14.7654411
2013,Kumbang 2,Core Zone,No Take Zone,1,1,14.66656646
2013,Kumbang 2,Core Zone,No Take Zone,2,1,21.66558974
2013,Kumbang 2,Core Zone,No Take Zone,3,1,22.26993129
2013,Kumbang 3,Core Zone,No Take Zone,1,1,21.02326898
2013,Kumbang 3,Core Zone,No Take Zone,2,1,15.45154885
2013,Kumbang 3,Core Zone,No Take Zone,3,1,14.42816929
2013,Legon Janten,Core Zone,No Take Zone,1,1,14.54550791
2013,Legon Janten,Core Zone,No Take Zone,2,1,12.70154576
2013,Legon Janten,Core Zone,No Take Zone,3,1,10.53061597
2013,Legon Moto,Core Zone,No Take Zone,1,1,26.96925407
2013,Legon Moto,Core Zone,No Take Zone,2,1,15.12638247
2013,Legon Moto,Core Zone,No Take Zone,3,1,27.08580731
2013,Taka Malang E,Core Zone,No Take Zone,1,1,21.18430757
2013,Taka Malang E,Core Zone,No Take Zone,2,1,17.45404099
2013,Taka Malang E,Core Zone,No Take Zone,3,1,15.96351438
2013,Taka Malang W,Core Zone,No Take Zone,1,1,16.22267108
2013,Taka Malang W,Core Zone,No Take Zone,2,1,16.64005481
2013,Taka Malang W,Core Zone,No Take Zone,3,1,10.90068114
2013,Taka Menyawakan E,Core Zone,No Take Zone,1,1,48.79332421
2013,Taka Menyawakan E,Core Zone,No Take Zone,2,1,17.0453369
2013,Taka Menyawakan E,Core Zone,No Take Zone,3,1,29.97740536
2013,Taka Menyawakan W,Core Zone,No Take Zone,1,1,10.21701268
2013,Taka Menyawakan W,Core Zone,No Take Zone,2,1,24.45183495
2013,Taka Menyawakan W,Core Zone,No Take Zone,3,1,26.73429664
2013,Tanjung Dua,Core Zone,No Take Zone,1,1,13.25355577
2013,Tanjung Dua,Core Zone,No Take Zone,2,1,23.96247399
2013,Tanjung Dua,Core Zone,No Take Zone,3,1,17.26567112
2013,Tanjung Sekoci,Core Zone,No Take Zone,1,1,11.32521849
2013,Tanjung Sekoci,Core Zone,No Take Zone,2,1,17.63685104
2013,Tanjung Sekoci,Core Zone,No Take Zone,3,1,22.08145055
2004,Batu Putih,Utilization,Gear Restriction,1,0,26.5241651
2004,Batu Putih,Utilization,Gear Restriction,2,0,21.02356776
2004,Batu Putih,Utilization,Gear Restriction,3,0,21.67260557
2004,Cemara Besar 2,Utilization,Gear Restriction,1,0,27.68704254
2004,Cemara Besar 2,Utilization,Gear Restriction,2,0,24.59225531
2004,Cemara Besar 2,Utilization,Gear Restriction,3,0,18.60056829
2004,Karang Katang,Utilization,Gear Restriction,1,0,30.97482856
2004,Karang Katang,Utilization,Gear Restriction,2,0,33.2848272
2004,Karang Katang,Utilization,Gear Restriction,3,0,19.25187439
2004,Kecil,Utilization,Gear Restriction,1,0,24.69812764
2004,Kecil,Utilization,Gear Restriction,2,0,31.47809901
2004,Kecil,Utilization,Gear Restriction,3,0,23.35158968
2004,Nyamuk,Utilization,Gear Restriction,1,0,24.07558959
2004,Nyamuk,Utilization,Gear Restriction,2,0,38.50775218
2004,Nyamuk,Utilization,Gear Restriction,3,0,41.15511664
2004,Parang 1,Utilization,Gear Restriction,1,0,8.444491571
2004,Parang 1,Utilization,Gear Restriction,2,0,17.45062861
2004,Parang 1,Utilization,Gear Restriction,3,0,15.37082722
2005,Batu Putih,Utilization,Gear Restriction,1,0,8.524775481
2005,Batu Putih,Utilization,Gear Restriction,2,0,14.65975821
2005,Cemara Besar 1,Utilization,Gear Restriction,1,0,11.07788559
2005,Cemara Besar 1,Utilization,Gear Restriction,2,0,7.253125747
2005,Cemara Besar 2,Utilization,Gear Restriction,1,0,13.89795434
2005,Cemara Besar 2,Utilization,Gear Restriction,2,0,13.47525065
2005,Karang Katang,Utilization,Gear Restriction,1,0,10.19151237
2005,Karang Katang,Utilization,Gear Restriction,2,0,7.987325258
2005,Kecil,Utilization,Gear Restriction,1,0,14.42205018
2005,Kecil,Utilization,Gear Restriction,2,0,10.84619411
2005,Nyamuk,Utilization,Gear Restriction,1,0,9.416434744
