site,year,annual_trip_id,hours,permanent_trip_id,gear,inside_TURF,species,sampled_catch,total_catch
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Caesio caerulaurea,6.5,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Anyperodon leucogrammicus,2.2,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Anyperodon leucogrammicus,2.2,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Scarus sp,1.7,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Scarus sp,4.2,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Scarus sp,3.5,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Epinephelus ongus,0.4,NA
Test_FF_Site,2009,51,8,2009_51,Speargun,Inside,Parupeneus indicus,4.5,NA
Test_FF_Site,2009,52,8,2009_52,Handline,Inside,Chiloscyllium sp,22.5,22.5
Test_FF_Site,2009,53,8,2009_53,Speargun,Inside,Plectropomus oligacanthus,3.0,19.2
Test_FF_Site,2009,54,8,2009_54,Speargun,Inside,Caesio cuning,10.0,NA
Test_FF_Site,2009,54,8,2009_54,Speargun,Inside,Cephalopholis cyanostigma,1.2,NA
Test_FF_Site,2009,54,8,2009_54,Speargun,Inside,Platax teira,2.0,NA
Test_FF_Site,2009,54,8,2009_54,Speargun,Inside,Scarus sp,3.0,NA
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Caesio cuning,128.0,210.2
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Plectropomus maculatus,0.4,NA
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Plectropomus oligacanthus,0.5,NA
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Plectropomus areolatus,21.0,NA
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Anyperodon leucogrammicus,53.0,NA
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Cephalopholis cyanostigma,0.3,NA
Test_FF_Site,2009,55,8,2009_55,Speargun,Outside,Lutjanus argentimaculatus,7.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Scarus sp,9.5,132.1
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Scarus sp,9.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Scarus sp,5.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Epinephelus ongus,6.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Anyperodon leucogrammicus,3.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Cephalopholis sonnerati,4.5,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Caesio caerulaurea,4.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Cephalopholis cyanostigma,2.0,NA
Test_FF_Site,2009,56,8,2009_56,Speargun,Inside,Parupeneus indicus,0.5,NA
