country,site,year,date,gear,inside_area,species,length_cm
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,22.59
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.615
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,25.56
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,28.874
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,26.488
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.736
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,21.76
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.593
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,23.102
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,22.379
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,25.215
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,26.565
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,23.333
Indonesia,Karimunjawa National Park,2003,9/7/03,Muroami,Inside,Caesio cuning,20.77
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,30.316
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.208
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,18.88
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.834
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.811
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.451
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,22.767
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.905
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,25.958
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,18.275
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.496
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.294
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.226
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.195
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.523
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.243
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.261
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.764
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,21.729
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,25.498
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,31.765
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.162
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,25.347
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,27.418
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.742
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,23.384
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,29.714
Indonesia,Karimunjawa National Park,2003,9/9/03,Muroami,Inside,Caesio cuning,24.709
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,27.767
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,29.661
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,26.73
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,31.332
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,34.242
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,31.927
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,35.366
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,34.412
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,27.901
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,26.633
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,32.994
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,25.272
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,29.839
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,25.853
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,27.715
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,26.422
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,17.661
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,28.317
Indonesia,Karimunjawa National Park,2003,9/10/03,Muroami,Inside,Caesio cuning,17.398
